Date,Price,Open,High,Low,Change,Month,Year,Change1,
Aug-19,1236.83,1152.48,1292.20,1085.02,7.06%,8,2019,1.00,
Jul-19,1155.30,1246.24,1287.79,1151.48,-6.93%,7,2019,0.00,
Jun-19,1241.33,1322.46,1361.35,1236.93,-5.79%,6,2019,0.00,
May-19,1317.66,1378.93,1404.19,1215.97,-4.50%,5,2019,0.00,
Apr-19,1379.72,1357.14,1399.14,1308.60,2.17%,4,2019,1.00,
Mar-19,1350.45,1225.39,1374.97,1207.16,10.74%,3,2019,1.00,
Feb-19,1219.49,1222.41,1308.79,1194.68,0.32%,2,2019,0.00,
Jan-19,1215.63,1114.68,1252.82,1070.95,9.44%,1,2019,1.00,
Dec-18,1110.72,1163.87,1163.87,1045.09,-3.97%,12,2018,0.00,
Nov-18,1156.59,1057.87,1174.86,1040.14,10.02%,11,2018,1.00,
Oct-18,1051.29,1245.89,1245.89,1006.86,-15.64%,10,2018,0.00,
Sep-18,1246.14,1233.31,1269.32,1172.39,1.31%,9,2018,1.00,
Aug-18,1229.99,1179.22,1316.52,1155.00,4.69%,8,2018,1.00,
Jul-18,1174.86,963.22,1179.22,948.01,21.96%,7,2018,1.00,
Jun-18,963.32,911.36,1026.27,909.83,5.55%,6,2018,1.00,
May-18,912.70,957.92,990.61,898.09,-4.35%,5,2018,0.00,
Apr-18,954.26,884.61,1001.51,876.94,9.13%,4,2018,1.00,
Mar-18,874.41,940.83,950.89,871.74,-7.53%,3,2018,0.00,
Feb-18,945.59,954.21,963.47,862.82,-0.70%,2,2018,0.00,
Jan-18,952.27,914.04,981.65,897.89,4.37%,1,2018,1.00,
Dec-17,912.40,915.77,930.08,854.55,-0.05%,12,2017,0.00,
Nov-17,912.90,938.85,950.49,864.80,-2.05%,11,2017,0.00,
Oct-17,932.02,787.53,948.81,777.98,20.48%,10,2017,1.00,
Sep-17,773.57,792.41,864.31,771.78,-2.05%,9,2017,0.00,
Aug-17,789.76,803.76,824.63,757.82,-1.28%,8,2017,0.00,
Jul-17,800.02,687.58,808.09,679.06,17.04%,7,2017,1.00,
Jun-17,683.52,660.09,715.91,648.35,2.93%,6,2017,1.00,
May-17,664.05,694.42,694.42,641.47,-3.91%,5,2017,0.00,
Apr-17,691.05,664.70,726.98,662.25,5.63%,4,2017,1.00,
Mar-17,654.25,614.23,662.54,607.76,6.69%,3,2017,1.00,
Feb-17,613.21,518.14,622.50,506.20,18.45%,2,2017,1.00,
Jan-17,517.69,536.91,543.60,501.64,-3.44%,1,2017,0.00,
Dec-16,536.12,495.30,537.41,488.62,9.33%,12,2016,1.00,
Nov-16,490.38,520.71,523.02,460.63,-5.82%,11,2016,0.00,
Oct-16,520.66,538.40,557.84,516.80,-3.00%,10,2016,0.00,
Sep-16,536.76,521.56,559.47,496.44,2.24%,9,2016,1.00,
Aug-16,525.02,504.22,531.96,487.08,4.44%,8,2016,1.00,
Jul-16,502.68,481.81,514.50,480.45,4.72%,7,2016,1.00,
Jun-16,480.02,474.48,492.41,462.32,1.18%,6,2016,1.00,
May-16,474.43,484.90,492.80,458.48,-2.53%,5,2016,0.00,
Apr-16,486.74,514.67,529.93,484.83,-5.98%,4,2016,0.00,
Mar-16,517.69,477.82,523.04,477.80,8.13%,3,2016,1.00,
Feb-16,478.79,515.09,516.01,439.88,-6.64%,2,2016,0.00,
Jan-16,512.84,500.16,539.76,483.76,2.05%,1,2016,1.00,
Dec-15,502.54,477.47,505.06,452.14,5.05%,12,2015,1.00,
Nov-15,478.39,470.04,491.59,450.70,1.91%,11,2015,1.00,
Oct-15,469.40,432.87,482.82,425.27,9.90%,10,2015,1.00,
Sep-15,427.10,422.94,445.53,408.68,0.75%,9,2015,1.00,
Aug-15,423.93,495.80,502.17,405.16,-14.57%,8,2015,0.00,
Jul-15,496.22,495.80,528.91,486.96,0.17%,7,2015,1.00,
Jun-15,495.36,435.87,502.29,432.72,14.04%,6,2015,1.00,
May-15,434.38,429.03,453.40,424.58,1.70%,5,2015,1.00,
